ra,dec,sp_type,flux
343.4173175875,44.74916024166667,"A3Vm",5.94
203.61358305917582,49.015971971378896,"A4V",4.7
199.56045638015996,49.68206366796001,"B9IV(Si)",5.15
284.68076131022,-37.10732798126,"F4VFe-0.8+",4.85
97.16351469504,-32.371277756919994,,5.89
28.989415693558758,-51.60887759053111,"G8IIIbCNIV",3.71
41.23992263824,12.44575607307,"A7III",5.17
264.23789294864787,68.75796709276833,"F4V",4.77
317.1620405807,30.205635529180004,"B9VspSi",5.71
141.36347590354,-61.95047812001,"A4V",5.77
34.506013818715424,1.7578120801391666,"G1V",5.59
94.31720709652,5.099973540430001,"G0V",5.7
275.2373759792,29.858923172179992,"kA3mA7+A9V",5.6
155.54400785599,41.22953047179,"F7V",5.72
230.84454829999999,-59.32048580000001,"F8V",5.59
67.64013589133,16.194013804560004,"A6IV",4.764
213.915300294925,19.1824091615312,"K1.5IIIFe-0.5",-0.05
279.234734787025,38.783688956244,"A0V",0.03
355.10211557957956,44.33393296378723,"B9IVn",4.14
14.17721289375,60.71674002472222,"B0.5IVpe",2.39
256.3342110487,54.47063197171,"F6V",5.69
180.40833333333333,36.04388888888889,"K1III",5.59
51.99546621374,49.01952829638001,,4.989
44.80302418005,21.340427382609995,"A2IV",5.16
193.34122680427998,-60.32848919842,"B9Iab",5.77
230.8009619,30.2882117,"G2V",5.577
191.56999562079372,-68.10809998944583,"B2V",3.55
311.5836158138,-39.1992663807,"B8/9V",5.47
312.75315902447994,-37.91333116413999,"K3III",5.5
278.00810174593,-45.757379180150004,"B3IV/V",5.07
289.09059235549,-45.466028905849996,"K3III",5.371
276.74340176679584,-45.968457754716674,"B3IV",3.463
277.93930501234036,-45.91481250026611,"B5/7",4.92
277.48308912069,-47.22054166451,"K2III",5.679
282.36393043726,-45.81010002503,"G8III",5.798
290.80473985061576,-44.79977880009028,"F2/3V",4.27
257.67633011433,-44.55769775834,"G8/K0III+G",5.08
245.62111454167996,-43.9120551456,"G3II",5.915
244.8235275179167,-42.673972607222225,"A3V",5.44
313.4174390923,-39.80986368227,"K2III",5.334
227.53051955453998,-38.79250997173,"G6III",5.978
305.6145927403999,-42.04956200232,"A0V",5.59
300.20134900145,-45.11292331023,"F0/2IV",5.781
276.72505744381,-48.11723995121,"K0/1III+F/G",5.446
293.8041097609399,-48.0991990457,"K0III",4.879
279.80955370896,-47.90976444460001,"A7IV/V",5.84
286.73169573464,-48.299144314370004,"A0V",5.951
262.9603813675,-49.87614501138889,"B2Vne",2.95
243.81382400228,-47.37201987805,"B8V",5.124
247.42636572726997,-46.24323081461001,"B2Iab",5.37
230.34297427253,-40.64753036915,"B1.5IV",3.19
226.32985371846,-41.067237088960006,"G8III",5.127
316.60633258949,-41.38596449331,"K3III",5.505
220.48996060458245,-37.79349450012777,"B2.5V",4.0
227.05051614875,-40.58393206034,"B8IVSi",5.79
308.47946905274,-44.516045619100005,"K0III",5.118
234.05041395146003,-44.3968262751,"K4/5III",5.434
229.01674599708997,-41.49116569804,"A/F",5.171
261.50017970203,-50.63350661627,"G8III",5.193
283.16518737220997,-52.10736978301,"G8/K0III",5.173
261.99000553607993,-52.29714302850999,"K2III",5.723
297.5585816268899,-47.55738927077,"M1III",5.895
250.41760905926003,-49.65155234261999,"B1Iab/Ib",5.68
245.61664827467877,-49.572352378579446,"B3V",5.318
244.96009294998038,-50.15550599744805,"K0III",4.02
321.1034081629167,-41.006695371944446,"ApSi",5.775
323.0244829839,-41.17931007454,"K0III",5.286
217.79516464925996,-38.86971100555,"K1III",5.983
228.20661466393122,-44.50041400716694,"B3IV/V",4.806
219.18388438146,-40.21158230212,"B8V",5.736
227.16332510107998,-42.86792290517,"B5/7V",5.82
264.52298079539,-54.50043389668001,"A5IV/V",5.242
255.78647331191996,-53.23693600877001,"F5VFe+0.5",5.278
255.02616372179,-54.597177028,"A5IV/V",5.633
293.22426626507,-53.18561522325,"Fm_dD",5.744
274.2813851056508,-56.02334932875639,"B3IIIe",5.36
290.71335865609,-54.42392933816,"A0V",5.02
237.48957601953003,-48.91240454570001,"A1V",5.837
228.97363835704996,-48.07368529812,"A2IIIs",5.958
298.15717153926,-54.9710277709,"G8/K0III",5.705
303.57927190612,-52.44576536878,"K4III",5.632
323.34797822867,-44.84870535228,"K1III",5.563
301.84648944839,-52.880792784149996,"K5III",4.94
261.3485804629167,-56.37772632638889,"B1Ib",3.34
254.65505223357658,-55.9901388628425,"K3III",3.076
253.50150216665,-57.909511535049994,"M1III",5.905
266.23276926307,-57.54554024487,"G8III",5.964
243.34457461515,-55.54094743015,"F2IV/V",5.772
226.85812567253,-49.0886080396,"G8III",5.766
227.99031402228997,-48.74368566297,"A3/5V",5.498
217.53595288505997,-45.32135607256,"B8V",5.5
219.07929592109997,-46.24545086947,"K3III",5.55
219.33398637083334,-46.1334391875,"G8III",5.431
213.67775133692,-41.83749213378,"G8III",5.613
311.00972491813707,-51.92097035308806,"A9IV",4.495
251.58844118041,-58.50359540406,"B2III/IV",5.728
247.06316576065,-58.59979409052999,"B9II/III",5.673
261.07831836711,-60.673797339690005,"B8Ib/II",5.754
259.80211464702,-59.69461171441,"K2IIIaCN1Ca1Ba0.5",5.894
275.80682218129,-61.49391192172,"K4III",4.367
242.32728185147002,-57.934319113460006,"B9.5V",5.57
