pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,sy_dist,ra,dec,disc_year
"Proxima Cen b","Proxima Cen",11.18465000000,0.0484800000,1.02000000,1.05500000,0.000000,218.00,1.30119000,217.3934657,-62.6761821,2016
"Proxima Cen d","Proxima Cen",5.12338000000,0.0288100000,0.69200000,0.26000000,0.000000,282.00,1.30119000,217.3934657,-62.6761821,2025
"Barnard c","Barnard's star",4.12440000000,0.0274000000,0.74300000,0.33500000,0.080000,400.00,1.82655000,269.4486144,4.7379808,2025
"Barnard d","Barnard's star",2.34020000000,0.0188000000,0.69400000,0.26300000,0.040000,483.00,1.82655000,269.4486144,4.7379808,2025
"Barnard e","Barnard's star",6.73920000000,0.0381000000,0.63700000,0.19300000,0.040000,340.00,1.82655000,269.4486144,4.7379808,2025
"Barnard b","Barnard's star",3.15420000000,0.0229000000,0.72000000,0.29900000,0.030000,438.00,1.82655000,269.4486144,4.7379808,2024
"eps Eri b","eps Eri",2680.00000000000,3.5300000000,13.80000000,317.82840700,0.060000,112.26,3.20260000,53.2284306,-9.4581715,2000
"GJ 887 e","GJ 887",4.42490000000,0.0417000000,1.12000000,1.46000000,,544.00,3.28679000,346.5027573,-35.8473489,2026
"GJ 887 b","GJ 887",9.26190000000,0.0683000000,1.80000000,3.90000000,0.140000,426.00,3.28679000,346.5027573,-35.8473489,2020
"GJ 887 c","GJ 887",21.78400000000,0.1210000000,2.43000000,6.50000000,0.170000,320.00,3.28679000,346.5027573,-35.8473489,2020
"GJ 887 d","GJ 887",50.77000000000,0.2120000000,2.34000000,6.10000000,,241.00,3.28679000,346.5027573,-35.8473489,2026
"Ross 128 b","Ross 128",9.86580000000,0.0496000000,1.11000000,1.40000000,0.116000,301.00,3.37454000,176.9376036,0.7992898,2017
"Gl 725 A b","Gl 725 A",11.22010000000,0.0680000000,1.48000000,2.78000000,0.000000,376.10,3.52140000,280.6834312,59.6381090,2025
"GJ 15 A b","GJ 15 A",11.44070000000,0.0720000000,1.55000000,3.03000000,0.094000,550.00,3.56228000,4.6126677,44.0247296,2014
"GJ 15 A c","GJ 15 A",7600.00000000000,5.4000000000,6.67000000,36.00000000,0.270000,46.14,3.56228000,4.6126677,44.0247296,2018
"tau Cet f","tau Cet",636.13000000000,1.3340000000,1.81000000,3.93000000,0.160000,201.97,3.60304000,26.0093029,-15.9337987,2017
"tau Cet h","tau Cet",49.41000000000,0.2430000000,1.19000000,1.83000000,0.230000,473.22,3.60304000,26.0093029,-15.9337987,2017
"tau Cet g","tau Cet",20.00000000000,0.1330000000,1.18000000,1.75000000,0.060000,639.65,3.60304000,26.0093029,-15.9337987,2017
"eps Ind A b","eps Ind A",25450.00000000000,15.7600000000,12.70000000,2065.88464550,0.250000,275.00,3.63857000,330.8714021,-56.7969023,2019
"GJ 1061 c","GJ 1061",6.68210000000,0.0342000000,1.19000000,1.81000000,0.020000,304.12,3.67278000,54.0032486,-44.5143104,2020
"GJ 1061 b","GJ 1061",3.20730000000,0.0210000000,1.04000000,1.11000000,0.050000,388.11,3.67278000,54.0032486,-44.5143104,2020
"GJ 1061 d","GJ 1061",13.06600000000,0.0540000000,1.16000000,1.67000000,0.040000,242.03,3.67278000,54.0032486,-44.5143104,2020
"YZ Cet c","YZ Cet",3.05989000000,0.0215600000,1.05000000,1.14000000,0.000000,410.30,3.71207000,18.1330792,-16.9962434,2017
"YZ Cet b","YZ Cet",2.02087000000,0.0163400000,0.91300000,0.70000000,0.060000,471.20,3.71207000,18.1330792,-16.9962434,2017
"YZ Cet d","YZ Cet",4.65626000000,0.0285100000,1.03000000,1.09000000,0.070000,356.70,3.71207000,18.1330792,-16.9962434,2017
"Teegarden's Star d","Teegarden's Star",26.13000000000,0.0791000000,0.95400000,0.82000000,0.070000,159.00,3.83078000,43.2691449,16.8649024,2024
"Teegarden's Star c","Teegarden's Star",11.41600000000,0.0455000000,1.02000000,1.05000000,0.040000,209.00,3.83078000,43.2691449,16.8649024,2019
"Teegarden's Star b","Teegarden's Star",4.90634000000,0.0259000000,1.05000000,1.16000000,0.030000,277.00,3.83078000,43.2691449,16.8649024,2019
"Kapteyn c","Kapteyn",121.54000000000,0.3110000000,2.54000000,7.00000000,0.230000,165.59,3.93305000,77.9586613,-45.0430198,2014
"Wolf 1061 d","Wolf 1061",217.21000000000,0.4700000000,2.69000000,7.70000000,0.550000,130.24,4.30592000,247.5748276,-12.6676866,2015
"Wolf 1061 b","Wolf 1061",4.88690000000,0.0375000000,1.21000000,1.91000000,0.150000,461.10,4.30592000,247.5748276,-12.6676866,2015
"Wolf 1061 c","Wolf 1061",17.87190000000,0.0890000000,1.66000000,3.41000000,0.110000,299.30,4.30592000,247.5748276,-12.6676866,2015
"GJ 9066 c","GJ 9066",771.36000000000,0.8800000000,9.60000000,66.74396547,0.460000,65.66,4.47100000,30.0588307,13.0443172,2020
"GJ 674 b","GJ 674",4.69380000000,0.0390000000,3.33000000,11.09000000,0.200000,530.80,4.54896000,262.1700476,-46.8989826,2007
"GJ 687 b","GJ 687",38.14200000000,0.1630000000,4.32000000,17.20000000,0.170000,263.65,4.54939000,264.1041731,68.3336741,2014
"GJ 687 c","GJ 687",727.56200000000,1.1650000000,4.14000000,16.00000000,0.400000,98.62,4.54939000,264.1041731,68.3336741,2020
"GJ 876 d","GJ 876",1.93778000000,0.0208066500,2.51000000,6.83000000,0.207000,603.09,4.67517000,343.3239737,-14.2665958,2005
"GJ 876 c","GJ 876",30.08810000000,0.1295900000,14.00000000,226.98460000,0.255910,241.66,4.67517000,343.3239737,-14.2665958,2000
"GJ 876 e","GJ 876",124.26000000000,0.3343000000,3.92000000,14.60000000,0.055000,150.46,4.67517000,343.3239737,-14.2665958,2010
"GJ 876 b","GJ 876",61.11660000000,0.2083170000,13.30000000,723.22350000,0.032400,190.60,4.67517000,343.3239737,-14.2665958,1998
"GJ 1002 c","GJ 1002",21.20200000000,0.0738000000,1.10000000,1.36000000,,181.70,4.84867000,1.6764641,-7.5462123,2022
"GJ 1002 b","GJ 1002",10.34650000000,0.0457000000,1.03000000,1.08000000,,230.90,4.84867000,1.6764641,-7.5462123,2022
"GJ 832 b","GJ 832",3853.00000000000,3.7000000000,13.80000000,314.65012293,0.050000,57.84,4.96435000,323.3912616,-49.0125169,2008
"GJ 682 c","GJ 682",57.32000000000,0.1760000000,2.89000000,8.70000000,0.100000,190.08,5.00671000,264.2610245,-44.3232519,2014
"GJ 682 b","GJ 682",17.47800000000,0.0800000000,1.93000000,4.40000000,0.080000,281.93,5.00671000,264.2610245,-44.3232519,2014
"GJ 3323 b","GJ 3323",5.36360000000,0.0328200000,1.23000000,2.02000000,0.230000,290.06,5.37484000,75.4868824,-6.9485133,2017
"GJ 3323 c","GJ 3323",40.54000000000,0.1264000000,1.32000000,2.31000000,0.170000,147.80,5.37484000,75.4868824,-6.9485133,2017
"GJ 251 c","GJ 251",53.64700000000,0.1960000000,1.80000000,3.88000000,0.000000,216.00,5.58057000,103.7002499,33.2664632,2025
"GJ 251 b","GJ 251",14.23700000000,0.0808000000,1.79000000,3.85000000,0.000000,336.00,5.58057000,103.7002499,33.2664632,2020
"GJ 411 b","GJ 411",12.93940000000,0.0787900000,1.45000000,2.69000000,0.063000,349.83,5.67577300,165.8344710,35.9723170,2019
"HD 95735 c","GJ 411",2946.00000000000,2.9400000000,3.76000000,13.60000000,0.132000,63.49,5.67577300,165.8344710,35.9723170,2021
"GJ 229 b","GJ 229",579.47495000000,1.0860000000,3.97000000,14.93793513,0.404000,111.85,5.75624000,92.6435993,-21.8677233,2014
"GJ 229 A c","GJ 229",121.93268000000,0.3840000000,2.87000000,8.58136699,0.366000,188.10,5.75624000,92.6435993,-21.8677233,2020
"HD 180617 b","HD 180617",105.91100000000,0.3430000000,3.53000000,12.21400000,0.101000,201.80,5.91059000,289.2277322,5.1631615,2018
"GJ 273 c","GJ 273",4.72340000000,0.0364670000,1.06000000,1.18000000,0.170000,462.26,5.92153500,111.8520910,5.2258070,2017
"GJ 273 b","GJ 273",18.64980000000,0.0911010000,1.51000000,2.89000000,0.100000,292.47,5.92153500,111.8520910,5.2258070,2017
"HD 20794 f","HD 20794",647.60000000000,1.3541000000,2.28000000,5.82000000,0.450000,214.52,6.00278000,49.9997666,-43.0666533,2025
"HD 20794 d","HD 20794",89.68000000000,0.3625000000,2.04000000,4.80000000,0.077000,388.00,6.00278000,49.9997666,-43.0666533,2011
"HD 20794 b","HD 20794",18.31400000000,0.1257000000,1.45000000,2.70000000,0.064000,660.00,6.00278000,49.9997666,-43.0666533,2011
"HD 20794 e","HD 20794",147.02000000000,0.5090000000,2.03000000,4.77000000,0.290000,352.04,6.00278000,49.9997666,-43.0666533,2017
"HN Lib b","HN Lib",36.11600000000,0.1417000000,2.20000000,5.46000000,0.079000,234.40,6.24442000,218.5684823,-12.5170062,2023
"GJ 896 A b","GJ 896 A",284.39000000000,0.6396500000,13.30000000,718.29219982,0.350000,126.70,6.26022000,352.9700384,19.9370011,2022
"GJ 581 c","GJ 581",12.92110000000,0.0718000000,2.50000000,6.81000000,0.032000,346.13,6.29810000,229.8564725,-7.7226935,2007
"GJ 581 b","GJ 581",5.36860000000,0.0399000000,4.79000000,20.50000000,0.034200,464.32,6.29810000,229.8564725,-7.7226935,2005
"GJ 581 e","GJ 581",3.14810000000,0.0279900000,1.38000000,2.48000000,0.012000,554.37,6.29810000,229.8564725,-7.7226935,2009
"GJ 338 B b","GJ 338 B",24.42200000000,0.1420000000,3.25000000,10.60000000,0.109000,391.00,6.33256000,138.5916722,52.6835211,2020
"GJ 625 b","GJ 625",14.62800000000,0.0783610000,1.49000000,2.82000000,0.130000,335.59,6.47249000,246.3557854,54.3033625,2017
"HD 219134 c","HD 219134",6.76458000000,0.0653000000,1.51100000,4.36000000,0.062000,782.00,6.53127000,348.3372026,57.1696255,2015
"HD 219134 h","HD 219134",2247.00000000000,3.1100000000,12.70000000,108.06220000,0.060000,117.88,6.53127000,348.3372026,57.1696255,2015
"HD 219134 g","HD 219134",94.20000000000,0.3753000000,3.28000000,10.80622000,0.000000,339.34,6.53127000,348.3372026,57.1696255,2015
"HD 219134 b","HD 219134",3.09292600000,0.0387600000,1.60200000,4.74000000,0.000000,1015.00,6.53127000,348.3372026,57.1696255,2015
"HD 219134 f","HD 219134",22.71700000000,0.1463000000,1.31000000,7.30000000,0.148000,522.60,6.53127000,348.3372026,57.1696255,2015
"HD 219134 d","HD 219134",46.85900000000,0.2370000000,1.61000000,16.17000000,0.138000,410.50,6.53127000,348.3372026,57.1696255,2015
"LTT 1445 A c","LTT 1445 A",3.12390350000,0.0266100000,1.14700000,1.54000000,0.223000,508.00,6.86929000,45.4624781,-16.5944956,2022
"LTT 1445 A b","LTT 1445 A",5.35876350000,0.0381000000,1.34000000,2.73000000,0.180000,431.00,6.86929000,45.4624781,-16.5944956,2019
"GJ 393 b","GJ 393",7.02679000000,0.0540200000,1.17000000,1.71000000,,485.00,7.03149000,157.2288672,0.8378485,2021
"GJ 4274 c","GJ 4274",69.57000000000,0.1860000000,2.83000000,8.39000000,,157.32,7.23556000,335.7805478,-17.6104078,2026
"GJ 4274 b","GJ 4274",1.63390000000,0.0153000000,1.53000000,2.97000000,,548.53,7.23556000,335.7805478,-17.6104078,2026
"GJ 667 C f","GJ 667 C",39.02600000000,0.1560000000,1.45000000,2.70000000,0.030000,,7.24396000,259.7510609,-34.9977651,2013
"GJ 667 C e","GJ 667 C",62.24000000000,0.2130000000,1.45000000,2.70000000,0.020000,,7.24396000,259.7510609,-34.9977651,2013
"GJ 667 C c","GJ 667 C",28.14000000000,0.1250000000,1.77000000,3.80000000,0.020000,,7.24396000,259.7510609,-34.9977651,2013
"GJ 667 C b","GJ 667 C",7.20300000000,0.0504310000,2.25000000,5.68000000,0.200000,,7.24396000,259.7510609,-34.9977651,2012
"GJ 667 C g","GJ 667 C",256.20000000000,0.5490000000,1.99000000,4.60000000,0.080000,,7.24396000,259.7510609,-34.9977651,2013
"GJ 514 b","GJ 514",140.43000000000,0.4220000000,2.13000000,5.20000000,0.450000,202.00,7.61778000,202.5040424,10.3725387,2022
"GJ 3378 b","GJ 3378",21.45000000000,0.0967300000,1.32000000,2.30000000,0.000000,272.00,7.72274000,90.2951302,59.5931917,2026
"GJ 1151 c","GJ 1151",389.70000000000,0.5714000000,3.25000000,10.62000000,,88.30,8.03625000,177.7304866,48.3732334,2023
"GJ 486 b","GJ 486",1.46712127000,0.0171400000,1.28900000,2.77000000,0.000860,696.30,8.07426000,191.9815310,9.7494181,2021
"Gl 686 b","Gl 686",15.53000000000,0.0910000000,2.46000000,6.62400000,0.050000,379.00,8.15728000,264.4764878,18.5959509,2018
"Gliese 48 b","Gliese 48",39.62990000000,0.1752000000,2.77000000,8.11000000,0.000000,271.00,8.23366000,15.6582402,71.6781735,2026
"GJ 1289 b","GJ 1289",111.74000000000,0.2700000000,2.38000000,6.27000000,0.000000,150.00,8.35147000,355.7813464,36.5363314,2024
"61 Vir b","61 Vir",4.21500000000,0.0502010000,2.11000000,5.10000000,0.120000,1177.85,8.50332000,199.5964550,-18.3157745,2009
"61 Vir c","61 Vir",38.02100000000,0.2175000000,4.46000000,18.20000000,0.140000,565.87,8.50332000,199.5964550,-18.3157745,2009
"61 Vir d","61 Vir",123.01000000000,0.4760000000,5.11000000,22.90000000,0.350000,382.51,8.50332000,199.5964550,-18.3157745,2009
"CD Cet b","CD Cet",2.29070000000,0.0185000000,1.82000000,3.95000000,,464.00,8.60715000,48.3530155,4.7751881,2020
