hostname,sy_dist,ra,dec,st_teff,st_rad,st_mass,st_lum,st_spectype,sy_vmag,sy_pnum
"Proxima Cen",1.30119000,217.3934657,-62.6761821,2900.00,0.141000,0.122100,-2.82102,"M5.5 V",11.0100000,2
"Barnard's star",1.82655000,269.4486144,4.7379808,3195.00,0.185000,0.162000,-2.44977,"M3.5-4 V",9.5400000,4
"eps Eri",3.20260000,53.2284306,-9.4581715,5020.38,0.759106,0.820000,-0.41928,"K2 V",3.7154800,1
"GJ 887",3.28679000,346.5027573,-35.8473489,3688.00,0.468000,0.495000,-1.43415,"M1 V",7.5600000,4
"Ross 128",3.37454000,176.9376036,0.7992898,3192.00,0.196700,0.168000,-2.44129,"M4",11.1200000,1
"Gl 725 A",3.52140000,280.6834312,59.6381090,3433.00,0.351000,0.330000,-1.80900,"M3",8.9400000,1
"GJ 15 A",3.56228000,4.6126677,44.0247296,3607.00,0.380000,0.380000,-1.65500,"M1",8.0900000,2
"tau Cet",3.60304000,26.0093029,-15.9337987,5310.00,0.830000,0.783000,-0.30539,"G8.5V",3.4960700,3
"eps Ind A",3.63857000,330.8714021,-56.7969023,4700.00,0.713000,0.800000,-0.62160,"K5 V",4.6900000,1
"GJ 1061",3.67278000,54.0032486,-44.5143104,2953.00,0.156000,0.120000,-2.76955,"M5.5 V",12.7000000,3
"YZ Cet",3.71207000,18.1330792,-16.9962434,3151.00,0.157000,0.142000,-2.65857,"M4.5 V",12.0740000,3
"Teegarden's Star",3.83078000,43.2691449,16.8649024,3034.00,0.120000,0.097000,-3.14146,"M7.0 V",15.1300000,3
"Kapteyn",3.93305000,77.9586613,-45.0430198,3550.00,0.291000,0.281000,-1.79289,"M2.0V",8.8600000,1
"Wolf 1061",4.30592000,247.5748276,-12.6676866,3342.00,0.307000,0.294000,-1.99140,"M3.5",10.1000000,3
"GJ 9066",4.47100000,30.0588307,13.0443172,3154.00,0.164000,0.150000,-2.59517,"M5.0 V",12.7100000,1
"GJ 674",4.54896000,262.1700476,-46.8989826,3600.00,0.364630,0.350000,-1.79600,"M2.5",9.3800000,1
"GJ 687",4.54939000,264.1041731,68.3336741,3413.00,0.418300,0.400000,-1.67200,"M3.0V",9.1500000,2
"GJ 876",4.67517000,343.3239737,-14.2665958,3293.74,0.300000,0.320000,-1.90658,"M2.5V",10.1600000,4
"GJ 1002",4.84867000,1.6764641,-7.5462123,3024.00,0.137000,0.120000,-2.85201,"M5.5 V",13.7600000,2
"GJ 832",4.96435000,323.3912616,-49.0125169,3472.00,0.441557,0.450000,-1.58500,"M2/3 V",8.6600000,1
"GJ 682",5.00671000,264.2610245,-44.3232519,3028.00,0.298255,0.270000,-2.69897,"M3.5 V",10.9400000,2
"GJ 3323",5.37484000,75.4868824,-6.9485133,3159.00,0.119000,0.164000,-2.56864,"M4",12.5700000,2
"GJ 251",5.58057000,103.7002499,33.2664632,3342.00,0.360000,0.350000,-1.80967,"M3.0 V",9.8900000,2
"GJ 411",5.67577300,165.8344710,35.9723170,3719.00,0.368500,0.389900,-1.70997,"M1.5 V",7.4900000,2
"GJ 229",5.75624000,92.6435993,-21.8677233,3564.00,0.460000,0.509000,-1.55284,"M1.5V",8.1500000,2
"HD 180617",5.91059000,289.2277322,5.1631615,3534.00,0.481000,0.484000,-1.49000,"M2.5 V",9.1200000,1
"GJ 273",5.92153500,111.8520910,5.2258070,3382.00,0.293000,0.290000,-2.05552,"M3.5",9.8400000,2
"HD 20794",6.00278000,49.9997666,-43.0666533,5368.00,0.930000,0.790000,-0.16311,"G6 V",4.2600000,4
"HD 20794",6.00278000,49.9997666,-43.0666533,5401.00,0.930000,0.813000,-0.16311,"G8",4.2600000,4
"HN Lib",6.24442000,218.5684823,-12.5170062,3347.00,0.299000,0.291000,-1.99542,"M4.0 V",11.3110000,1
"GJ 896 A",6.26022000,352.9700384,19.9370011,3345.00,0.394682,0.435990,-1.75523,"M3.5 V",10.0500000,1
"GJ 581",6.29810000,229.8564725,-7.7226935,3500.00,0.302000,0.295000,-1.90781,"M3.0 V",10.5700000,3
"GJ 338 B",6.33256000,138.5916722,52.6835211,4014.00,0.580000,0.640000,-1.10127,"M0 V",7.7000000,1
"GJ 625",6.47249000,246.3557854,54.3033625,3499.00,0.310000,0.300000,-1.89400,"M2",10.0660000,1
"HD 219134",6.53127000,348.3372026,57.1696255,4699.00,0.778000,0.810000,-0.57741,"K3 V",5.5691100,6
"HD 219134",6.53127000,348.3372026,57.1696255,4913.00,0.770000,0.794000,-0.50864,"K3 V",5.5691100,6
"LTT 1445 A",6.86929000,45.4624781,-16.5944956,3340.00,0.265000,0.257000,-2.04591,"M3.0",10.5900000,2
"LTT 1445 A",6.86929000,45.4624781,-16.5944956,3562.00,0.271000,0.257000,-2.04591,"M3.0",10.5900000,2
"GJ 393",7.03149000,157.2288672,0.8378485,3579.00,0.426000,0.426000,-1.57073,"M2.0 V",9.6500000,1
"GJ 4274",7.23556000,335.7805478,-17.6104078,3228.00,0.190000,0.180000,-2.46218,"M4.5 V",13.3100000,2
"GJ 667 C",7.24396000,259.7510609,-34.9977651,3350.00,,0.330000,-1.86300,"M1.5 V",10.6020000,5
"GJ 514",7.61778000,202.5040424,10.3725387,3728.00,0.500000,0.510000,-1.36653,"M0.5-1.0 V",9.0500000,1
"GJ 3378",7.72274000,90.2951302,59.5931917,3340.00,0.275000,0.262000,-2.07058,"M4 V",12.3700000,1
"GJ 1151",8.03625000,177.7304866,48.3732334,3280.00,0.178100,0.163900,-2.47952,"M 4.5V",13.7600000,1
"GJ 486",8.07426000,191.9815310,9.7494181,3317.00,0.324300,0.312000,-1.93892,"M3.5 V",11.3900000,1
"Gl 686",8.15728000,264.4764878,18.5959509,3656.00,0.427000,0.426000,-1.53000,"M1.0 V",9.6200000,1
"Gliese 48",8.23366000,15.6582402,71.6781735,3450.00,0.463000,0.470000,-1.56384,"M3.5 V",9.9800000,1
"GJ 1289",8.35147000,355.7813464,36.5363314,3296.00,0.245012,0.210000,-2.25995,"M4.5 Ve",12.4800000,1
"61 Vir",8.50332000,199.5964550,-18.3157745,5577.00,0.963000,0.942000,-0.09500,"G5 V",4.6955000,3
"CD Cet",8.60715000,48.3530155,4.7751881,3130.00,0.175000,0.161000,-2.53254,"M5.0 V",13.9500000,1
"HD 192310",8.79687000,303.8284712,-27.0337556,5166.00,0.857922,0.800000,-0.41454,"K3V",5.7300000,2
"GJ 849",8.80058000,332.4229938,-4.6408317,3467.00,0.450000,0.450000,-1.59000,"M3.5",10.4100000,2
"GJ 433",9.06456000,173.8619194,-32.5436302,3461.00,0.500000,0.480000,-1.69897,"M2V",9.8100000,3
"GJ 367",9.41263000,146.1214640,-45.7790165,3522.00,0.458000,0.455000,-1.53910,"M1.0 V",10.1530000,3
"GJ 367",9.41263000,146.1214640,-45.7790165,3535.00,0.457000,0.451000,-1.54061,"M V",10.1530000,3
"GJ 357",9.44181000,144.0074644,-21.6650634,3505.00,0.337000,0.342000,-1.79833,"M2.5 V",10.9100000,3
"HD 285968",9.47045000,70.7353853,18.9533580,3703.49,0.478214,0.500000,-1.65800,"M2 V",9.9500000,1
"GJ 3512",9.48637000,130.3316616,59.4918364,3141.00,0.139000,0.123000,-2.80410,"M5.5 V",15.1800000,2
"G 192-15",9.53114000,90.6220931,49.8619390,2999.00,0.170718,0.132000,-2.67285,"M5.0 V",14.6400000,2
"Wolf 1069",9.58341000,306.5242477,58.5753044,3158.00,0.181300,0.167000,-2.53106,"M5.0 V",13.9930000,1
"GJ 680",9.67315000,263.8072214,-48.6788427,3563.00,0.459330,0.456000,-1.51379,"K5",10.1290000,1
"AU Mic",9.72210000,311.2911369,-31.3424500,3540.00,0.862000,0.635000,-0.97757,"M1 V",8.8100000,4
"AU Mic",9.72210000,311.2911369,-31.3424500,3665.00,0.820000,0.600000,-0.99000,"M1 V",8.8100000,4
"AU Mic",9.72210000,311.2911369,-31.3424500,3678.00,0.744000,0.510000,-1.03810,"M1 V",8.8100000,4
"GJ 436",9.75321000,175.5505363,26.7030669,3586.11,0.455000,0.470000,-1.58500,"M2.5 V",10.6700000,1
"Gl 49",9.85280000,15.6687321,62.3454386,3805.00,0.511000,0.515000,-1.30645,"M1.5 V",9.5600000,1
"GJ 3988",9.91050000,255.8503747,51.4089795,3273.00,0.197340,0.184200,-2.39513,"M4.5 V",13.6270000,1
