main_id,ra,dec,plx_value,pmra,pmdec,rvz_radvel,sp_type,otype_txt,flux
"NAME Proxima d",217.42894222160578,-62.67949018907555,768.0665,-3781.741,769.465,,,"Pl?",
"NAME Proxima Centauri",217.42894222160578,-62.67949018907555,768.0665,-3781.741,769.465,-20.578199,"M5.5Ve","PM*",11.13
"NAME Proxima Centauri b",217.42894222160578,-62.67949018907555,768.0665,-3781.741,769.465,,,"Pl",
"NAME Proxima Centauri c",217.42894222160578,-62.67949018907555,768.0665,-3781.741,769.465,,,"Pl?",
"* alf Cen",219.9020833333333,-60.83397222222223,750.81,-3608.0,686.0,-22.3,"G2V+K1V","SB*",-0.1
"* alf Cen A",219.90205833170774,-60.83399268831004,742.12,-3679.25,473.67,-15.252,"G2V","PM*",0.01
"* alf Cen B",219.89609628987276,-60.83752756558407,742.12,-3614.39,802.98,-22.586,"K1V","PM*",1.33
"* alf Cen Ab",219.9020583333333,-60.83399269444445,742.12,-3679.25,473.67,,,"Pl?",
"NAME Barnard's Star b",269.4520769586187,4.693364966576667,546.9759,-801.551,10362.394,,,"Pl",
"NAME Barnard's Star d",269.4520769586187,4.693364966576667,546.9759,-801.551,10362.394,,,"Pl",
"NAME Barnard's star",269.4520769586187,4.693364966576667,546.9759,-801.551,10362.394,-110.11,"M4V","BY*",9.511
"NAME Barnard's Star e",269.4520769586187,4.693364966576667,546.9759,-801.551,10362.394,,,"Pl",
"NAME Barnard's Star c",269.4520769586187,4.693364966576667,546.9759,-801.551,10362.394,,,"Pl",
"NAME Luhman 16",162.32881400000002,-53.319466000000006,501.557,-2767.502,356.856,,"L7.5+T0.5","**",16.2
"WISEA J085510.74-071442.5",133.81890825,-7.247048000000001,439.0,-8123.7,673.2,,"Y2","BD*",
"Wolf  359b",164.1205036259475,7.014723134801666,415.1794,-3866.338,-2699.215,,,"Pl?",
"Wolf  359",164.1205036259475,7.014723134801666,415.1794,-3866.338,-2699.215,19.57,"dM6","PM*",13.507
"Wolf  359c",164.1205036259475,7.014723134801666,415.1794,-3866.338,-2699.215,,,"Pl?",
"HD  95735c",165.8341450816425,35.96988227279361,392.7529,-580.057,-4776.589,,,"Pl",
"HD  95735b",165.8341450816425,35.96988227279361,392.7529,-580.057,-4776.589,,,"Pl",
"HD  95735",165.8341450816425,35.96988227279361,392.7529,-580.057,-4776.589,-84.64,"M2+V","PM*",7.52
"HD  95735d",165.8341450816425,35.96988227279361,392.7529,-580.057,-4776.589,,,"Pl?",
"* alf CMa",101.28715533333335,-16.71611586111111,379.21,-546.01,-1223.07,-5.5,"A0mA1Va","SB*",-1.46
